,Year,Month,SalesDistrictDesc,ProductLineDesc,ProductClassDesc,Shippable$
0,2017,1,APAC,Arresters,Distribution Arresters,59098.770000000004
1,2017,1,APAC,Arresters,Substation HC Arresters,49144.16
2,2017,1,APAC,Arresters,Substation SC Arresters,87000.12
3,2017,1,APAC,Bushings,Electro Composites,0.0
4,2017,1,APAC,Bushings,PCORE Electric,465.0
5,2017,1,APAC,Connectors,Distribution Connectors,296304.31999999995
6,2017,1,APAC,Connectors,Substation Connectors,23507.59
7,2017,1,APAC,Connectors,Transmission Connectors,1926.4
8,2017,1,APAC,Construction,Pole Line Hardware,4818.5
9,2017,1,APAC,Construction,Utility Anchors,14193.96
10,2017,1,APAC,Enclosures & Drains,Underground,0.0
11,2017,1,APAC,Insulators,Distribution Insulators,11260.5
12,2017,1,APAC,Insulators,Transmission Insulators,83287.14
13,2017,1,APAC,Safety Products,Gloves and Sleeves,4335.3
14,2017,1,APAC,Safety Products,Power Load,9391.61
15,2017,1,APAC,Safety Products,Resale,213163.78999999998
16,2017,1,APAC,Safety Products,Traditional Tools,139564.69
17,2017,1,APAC,Switching & Fusing,Cutouts,573194.92
18,2017,1,APAC,Switching & Fusing,Cutouts - Polymer,28930.6
19,2017,1,APAC,Switching & Fusing,Fuse Links,13071.6
20,2017,1,APAC,Switching & Fusing,OVHD Switches,163646.18
21,2017,1,APAC,Switching & Fusing,Substation Switches,0.0
22,2017,1,APAC,Utility Automation,Capacitor Switches,159885.0
23,2017,1,APAC,Utility Automation,Cust Srvc Sales (CSS),0.0
24,2017,1,APAC,Utility Automation,Power Factor Correction,8976.0
25,2017,1,APAC,Utility Automation,Sectionalizers,835.0
26,2017,1,APAC,Utility Automation,Teleprotection (TPR),0.0
27,2017,1,CANADA UTILITY,Arresters,Distribution Arresters,77437.65
28,2017,1,CANADA UTILITY,Arresters,Substation HC Arresters,0.0
29,2017,1,CANADA UTILITY,Arresters,Substation SC Arresters,10761.92
30,2017,1,CANADA UTILITY,Arresters,Transmission Arresters,18758.41
31,2017,1,CANADA UTILITY,Bushings,Electro Composites,15349.16
32,2017,1,CANADA UTILITY,Bushings,PCORE Electric,35262.0
33,2017,1,CANADA UTILITY,Cable Accessories,URD Accessories,8304.029999999999
34,2017,1,CANADA UTILITY,Cable Accessories,URD Arresters,13463.16
35,2017,1,CANADA UTILITY,Connectors,Distribution Connectors,172205.08
