ABCIndicator,Month,ProductClassDesc,ProductLineDesc,SalesDistrictDesc,Shippable_$,Year
P,1,Underground,Enclosures & Drains,West Region,590.05,2017
P,1,Fiberglass Construction,Safety Products,Communication - West,0,2017
C,1,Fiberglass Construction,Safety Products,Communication - West,0,2017
A,1,Fiberglass Construction,Safety Products,Communication - West,435.77,2017
B,1,Fiberglass Construction,Safety Products,Communication - East,0,2017
A,1,Fiberglass Construction,Safety Products,Communication - East,1055.1,2017
D,1,Fiberglass Construction,Safety Products,CANADA UTILITY,0,2017
C,1,Fiberglass Construction,Safety Products,CANADA UTILITY,0,2017
B,1,Fiberglass Construction,Safety Products,CANADA UTILITY,19147.09,2017
A,1,Fiberglass Construction,Safety Products,CANADA UTILITY,0,2017
B,1,Fiber Splice Products,Safety Products,West Region,0,2017
P,1,Fiber Splice Products,Safety Products,Communication - West,0,2017
B,1,Fiber Splice Products,Safety Products,Communication - West,0,2017
P,1,Fiber Splice Products,Safety Products,Communication - East,0,2017
B,1,Fiber Splice Products,Safety Products,Communication - East,0,2017
A,1,Fiber Splice Products,Safety Products,Communication - East,0,2017
C,1,Transmission Insulators,Insulators,West Region,35452.65,2017
B,1,Transmission Insulators,Insulators,West Region,4504.5,2017
A,1,Transmission Insulators,Insulators,West Region,1202.46,2017
C,1,Transmission Insulators,Insulators,SOUTHEAST REGION,19813.98,2017
B,1,Transmission Insulators,Insulators,SOUTHEAST REGION,30458,2017
A,1,Transmission Insulators,Insulators,SOUTHEAST REGION,0,2017
D,1,Transmission Insulators,Insulators,SOUTH CENTRAL REGION,0,2017
C,1,Transmission Insulators,Insulators,SOUTH CENTRAL REGION,489542.22,2017
B,1,Fiberglass Construction,Safety Products,EuropeMidEastAfrica,1260.28,2017
B,1,Transmission Insulators,Insulators,SOUTH CENTRAL REGION,52120.36,2017
C,1,Fiberglass Construction,Safety Products,Greater China,12149.5,2017
1,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,16045.05,2017
B,1,Fiberglass Construction,Safety Products,West Region,2408.9,2017
A,1,Fiberglass Construction,Safety Products,West Region,3320.4,2017
P,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,0,2017
D,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,1329.6,2017
C,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,30492.36,2017
B,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,13912.2,2017
A,1,Fiberglass Construction,Safety Products,SOUTHEAST REGION,2761.34,2017
P,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,1400,2017
D,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,940.4,2017
C,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,52447.9,2017
B,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,6447.02,2017
A,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,7417.3,2017
1,1,Fiberglass Construction,Safety Products,SOUTH CENTRAL REGION,5795.9,2017
P,1,Fiberglass Construction,Safety Products,North East Region,24106.4,2017
D,1,Fiberglass Construction,Safety Products,North East Region,4882.95,2017
C,1,Fiberglass Construction,Safety Products,North East Region,18677.9,2017
B,1,Fiberglass Construction,Safety Products,North East Region,6447.26,2017
A,1,Fiberglass Construction,Safety Products,North East Region,14353.84,2017
1,1,Fiberglass Construction,Safety Products,North East Region,866.05,2017
D,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,118.62,2017
C,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,4766.5,2017
B,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,6175.3,2017
A,1,Fiberglass Construction,Safety Products,NORTH CENTRAL REGION,36620.81,2017
C,1,Fiberglass Construction,Safety Products,Latin America,56.08,2017
C,1,Fiberglass Construction,Safety Products,West Region,9237.65,2017
A,1,Transmission Insulators,Insulators,SOUTH CENTRAL REGION,261.55,2017
B,1,Transmission Insulators,Insulators,North East Region,11437.78,2017
A,1,Distribution Insulators,Insulators,North East Region,0,2017
1,1,Distribution Insulators,Insulators,North East Region,20431.35,2017
D,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,0,2017
C,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,6679.62,2017
B,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,3551.52,2017
A,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,1765.17,2017
1,1,Distribution Insulators,Insulators,NORTH CENTRAL REGION,20225.25,2017
B,1,Distribution Insulators,Insulators,Latin America,6398.4,2017
A,1,Distribution Insulators,Insulators,Latin America,0,2017
1,1,Distribution Insulators,Insulators,Latin America,5060,2017
B,1,Distribution Insulators,Insulators,EuropeMidEastAfrica,1220,2017
1,1,Distribution Insulators,Insulators,Communication - West,627,2017
C,1,Distribution Insulators,Insulators,CANADA UTILITY,28789.79,2017
B,1,Distribution Insulators,Insulators,CANADA UTILITY,1483.51,2017
A,1,Distribution Insulators,Insulators,CANADA UTILITY,6891.17,2017
